"title","rating","overview","release date","original language","director","actors","revenue","genres","genres_ru"
"The Dark Half","6","Thad Beaumont is the author of a highly successful series of violent pulp thrillers written under the pseudonym of ‘George Stark’, but when he decides to ‘kill-off’ his alter-ego in a mock ceremony, it precipitates a string of sadistic murders matching those in his pulp novels, which are soon discovered to be the work of Stark himself. Looking like a maniacal version of his counterpart, Stark is not so willing to quit the writing game – even if it means coming after Thad's wife and their baby.","1993-04-23","en","George A. Romero","Timothy Hutton, Amy Madigan, Michael Rooker, Julie Harris, Robert Joy","10611160","Mystery, Horror","Мистика, Ужасы"
"Daughter of Darkness","5.8","The police suspect a young teenager who was horrifically abused by her family and raped by her father of finally snapping and slaughtering them all.","1993-10-28","zh","Ivan Lai Kai-Ming","Lily Chung Suk-Wai, William Ho, Hugo Ng, Anthony Wong Chau-Sang, Money Lo","0","Thriller, Horror, Comedy","Триллер, Ужасы, Комедия"
"Double, Double, Toil and Trouble","6.4","On Halloween night, two precocious little girls try to save their parents from their nasty old capitalist aunt's greedy clutches. Magic abounds and they meet mysterious new friends along the way.","1993-10-30","en","Stuart Margolin","Mary-Kate Olsen, Ashley Olsen, Cloris Leachman, Phil Fondacaro, Eric McCormack","0","Family, TV Movie, Horror, Comedy, Fantasy","Семейный, TV Movie, Ужасы, Комедия, Фэнтези"
"My Boyfriend's Back","5.7","Missy McCloud is the most beautiful girl in school and Johnny Dingle has been in love with her for years. One night, Johnny is killed trying to win her over, and soon he comes back from the dead, and wins Missy's heart.","1993-08-06","en","Bob Balaban","Andrew Lowery, Traci Lind, Danny Zorn, Edward Herrmann, Mary Beth Hurt","3335984","Comedy, Romance, Horror","Комедия, Романтика, Ужасы"
"The Spirit of Love","4","Judging by her lavish home, a model is making a fortune doing TV commercials. When her boyfriend/boss comes over and tries to get romantic, the model begins seeing weird and scary visions. Visions of blood flooding her floor, and a three year old boy ghost. It seems that, three years earlier, she was pregnant and caught her husband athletically knocking off a blonde. Husband kicked her down the stairs, which causes her to abort. The ghost is evidently the aborted baby grown up. Back to the present day, hubby has teamed up with a new girl, and is trying to get back into the house and kidnap the boy ghost.","1993-04-17","cn","Jamie Luk Kim-Ming","Loletta Lee, Tom Poon, Joanna Chan Pui-San, Matthew Chow Siu-Fa, Kwai Chung","0","Romance, Horror","Романтика, Ужасы"
"The Vanishing","6.099","The boyfriend of an abducted woman never gives up the search as the abductor looks on.","1993-02-05","en","George Sluizer","Kiefer Sutherland, Jeff Bridges, Nancy Travis, Sandra Bullock, Park Overall","14543394","Thriller, Drama, Mystery, Horror","Триллер, Драма, Мистика, Ужасы"
"Body Snatchers","6.1","When Environmental Protection Agency inspector Steve Malone travels to a remote military base in order to check for toxic materials, he brings his family along for the ride. After arriving at the base, his teenage daughter Marti befriends Jean Platt, daughter of the base's commander, General Platt. When people at the base begin acting strangely, Marti becomes convinced that they are slowly being replaced by plant-like aliens.","1993-06-09","en","Abel Ferrara","Terry Kinney, Meg Tilly, Gabrielle Anwar, Reilly Murphy, Billy Wirth","428868","Horror, Science Fiction","Ужасы, Научная фантастика"
"Manichitrathazhu","7.5","A young couple, Ganga and Nakulan, arrives at the ancestral home called Madampalli of the latter. Hailing from a family that follows tradition and superstitions, Nakulan's uncle Thampi objects to the couple's idea of moving into the allegedly haunted mansion, which Nakulan ignores. The couple moves in anyway following which seemingly supernatural events begin to happen.","1993-12-25","ml","Fazil","Shobana, Mohanlal, Suresh Gopi, Nedumudi Venu, Vinaya Prasad","0","Fantasy, Thriller, Horror","Фэнтези, Триллер, Ужасы"
"A Chinese Torture Chamber Story","5.6","A corrupt magistrate subjects a innocent young bride to inconceivable physical punishments after convicting her of killing her husband.","1994-05-19","cn","Bosco Lam Tsz-Ho","Yvonne Yung Hung, Lawrence Ng, Tommy Wong, Lam Yuk-Chi, Lin Pei-Jun","0","Horror, Comedy, Drama","Ужасы, Комедия, Драма"
"New Nightmare","6.425","Cast and crew from A Nightmare on Elm Street are terrorized by Freddy Krueger and his razor-fingered glove as he crosses over into the real world.","1994-10-13","en","Wes Craven","Heather Langenkamp, Robert Englund, Miko Hughes, Wes Craven, David Newsom","18090181","Horror, Mystery, Fantasy","Ужасы, Мистика, Фэнтези"
"Interview with the Vampire","7.383","A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.","1994-11-11","en","Neil Jordan","Tom Cruise, Brad Pitt, Antonio Banderas, Christian Slater, Stephen Rea","223664608","Horror, Drama, Fantasy","Ужасы, Драма, Фэнтези"
"Daughter of Darkness 2","5.4","Another gruesome case involving a woman who's a sole survivor of a brutal massacre. A local constable questions the woman about her whereabouts and what might have happened the night before. As he gets the young woman to talk, she spins a tale of debauchery, madness and people so vile that you wished that they'll never see daylight again. Why is this woman so reluctant to talk? Who else might be involved in this ghastly murder? How will this bumbling cop get any solid leads or useful clues from this shell shocked woman?","1994-01-01","cn","Ivan Lai Kai-Ming","Julia Cheng Yim-Lai, Ben Ng Ngai-Cheung, Dick Lau Tik-Chi, William Ho, Liu Kai-Chi","0","Comedy, Crime, Thriller, Horror","Комедия, Криминал, Триллер, Ужасы"
"Mary Shelley's Frankenstein","6.4","Victor Frankenstein is a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.","1994-11-04","en","Kenneth Branagh","Robert De Niro, Kenneth Branagh, Tom Hulce, Helena Bonham Carter, Aidan Quinn","112000000","Drama, Horror, Science Fiction, Romance","Драма, Ужасы, Научная фантастика, Романтика"
"Cemetery Man","6.9","Cemetery watchman, Francesco Dellamorte, is tasked with dispatching the recently deceased when they rise from their graves.","1994-03-25","it","Michele Soavi","Rupert Everett, François Hadji-Lazaro, Anna Falchi, Mickey Knox, Fabiana Formica","0","Comedy, Horror","Комедия, Ужасы"
"Ghost Sweeper Mikami","6.6","Meet Mikami - the SEXY leader of one of Japan's most successful independent ghost-busting agencies. Together with her eclectic team of exorcists, she's prepared to do battle with any supernatural adversary - but only for the right price!  When an ancient spirit enlists her aid to deal with a re-incarnated foe, Mikami gets more than she bargained for. As the wicked Nosferatu - a vampire lord able to absorb the very life essence of his victims - begins to turn the city's inhabitants into mindless zombies, Mikami's team must race against time to save Tokyo from destruction.  Watch The Ultimate Vampire Slayer in this fast, fun and furious supernatural action-adventure!","1994-12-04","ja","Atsutoshi Umezawa","Takeshi Aono, Shigeru Chiba, Toshio Furukawa, Ryo Horikawa, Nobuhiko Kazama","0","Animation, Action, Adventure, Comedy, Fantasy, Horror","Анимация, Боевик, Приключения, Комедия, Фэнтези, Ужасы"
"Wolf","6.103","Aging publisher Will Randall is at the end of his rope when a younger co-worker snatches his job out from under his nose. But after being bitten by a wolf, Will suddenly finds himself full of youthful vigor. As he struggles to regain his position, he becomes enthralled with Laura Alden, his former boss's daughter. And, as increasingly animal-like urges begin to overwhelm him, Randall worries that he may be turning into the creature that bit him.","1994-06-17","en","Mike Nichols","Jack Nicholson, Michelle Pfeiffer, James Spader, Kate Nelligan, Richard Jenkins","131002597","Fantasy, Drama, Horror, Romance","Фэнтези, Драма, Ужасы, Романтика"
"The Rapist","4.5","A serial rapist is loose in the Hong Kong suburb of Tuen Mun. Based on the true story of Lam Kwok-wai, who raped and murdered women in the early 90s.","1994-12-30","cn","Cha Chuen-Yee","Dickson Lee Kar-Sing, Power Chan Kwok-Pong, Farini Cheung Yui-ling, Chin Gwan, Hui Sze-Man","0","Crime, Horror","Криминал, Ужасы"
"Nightwatch","6.9","Martin, a law student, takes up a job as a nightwatchman at a mortuary to fund his studies. But the mortuary harbours a dark secret, and he has to find the truth before he is implicated in a serial murder case.","1994-02-25","da","Ole Bornedal","Nikolaj Coster-Waldau, Sofie Gråbøl, Kim Bodnia, Lotte Andersen, Ulf Pilgaard","0","Horror, Thriller","Ужасы, Триллер"
"Leprechaun 2","5.5","A thousand years ago, the Leprechaun left a bloody trail when he ripped through the countryside in search of his stolen gold. Now he's back in the big city using all of his deadly tricks to snare the girl of his nightmares. His bloody quest becomes more deadly when her boyfriend steals one of the Leprechaun's gold coins. The town soon discovers two dead bodies and a trail of gold dust leads them to the Leprechaun's lair.","1994-04-08","en","Rodman Flender","Warwick Davis, Charlie Heath, Shevonne Durkin, Adam Biesk, Arturo Gil","2300000","Comedy, Horror, Fantasy","Комедия, Ужасы, Фэнтези"
"Night of the Demons 2","6.182","Angela, the hostess from hell, summons her army of teen demons when teenagers from St. Rita's High School decide to party at the haunted Hull House on Halloween.","1994-05-31","en","Brian Trenchard-Smith","Cristi Harris, Darin Heames, Robert Jayne, Merle Kennedy, Amelia Kinkade","0","Horror, Comedy","Ужасы, Комедия"
"The Puppet Masters","5.7","The Earth is invaded by alien parasites—AKA 'slugs'—that ride on people's backs and control their minds.","1994-10-21","en","Stuart Orme","Donald Sutherland, Eric Thal, Julie Warner, Keith David, Will Patton","8600000","Horror, Science Fiction, Thriller","Ужасы, Научная фантастика, Триллер"
"Brainscan","6.2","A lonely teenage horror-movie fan discovers a mysterious computer game that uses hypnosis to custom-tailor the game into the most terrifying experience imaginable. When he emerges from the hypnotic trance he is horrified to find evidence that the brutal murder depicted in the game actually happened -- and he's the killer.","1994-04-22","en","John Flynn","Edward Furlong, Frank Langella, T. Ryder Smith, Amy Hargreaves, Jamie Marsh","4352094","Horror, Science Fiction","Ужасы, Научная фантастика"
